name;zone;lines;is_railstation;latitude;longitude;linked_station;linked_lines
Honor Oak Park;3.0;Overground;FALSE;51.450648;-0.044139;;
Hoxton;1.5;Overground;FALSE;51.531392;-0.075571;;
Imperial Wharf;2.0;Overground;FALSE;51.474939;-0.182823;;
Kensal Rise;2.0;Overground;FALSE;51.534215;-0.220807;;
Kentish Town West;2.0;Overground;FALSE;51.546548;-0.146742;;
Kilburn High Road;2.0;Overground;FALSE;51.537268;-0.191099;;
Leyton Midland Road;3.0;Overground;FALSE;51.569364;-0.008052;;
Leytonstone High Road;3.0;Overground;FALSE;51.563807;0.008269;;
New Cross;2.0;Overground;TRUE;51.476429;-0.032264;;
New Cross Gate;2.0;Overground;TRUE;51.475265;-0.039515;;
Norwood Junction;4.0;Overground;TRUE;51.396954;-0.075195;;
Peckham Rye;2.0;Overground;TRUE;51.469511;-0.069969;;
Penge West;4.0;Overground;FALSE;51.418063;-0.060631;;
Queens Road Peckham;2.0;Overground;TRUE;51.474285;-0.057341;;
Watford Junction;10.0;Overground;TRUE;51.663883;-0.396158;;
Rotherhithe;2.0;Overground;FALSE;51.501595;-0.052952;;
Shoreditch High Street;1.0;Overground;FALSE;51.523467;-0.077073;;
South Acton;3.0;Overground;FALSE;51.499686;-0.270201;;
South Hampstead;2.0;Overground;FALSE;51.541477;-0.178357;;
South Tottenham;3.0;Overground;FALSE;51.580403;-0.071842;;
Surrey Quays;2.0;Overground;FALSE;51.493267;-0.047516;;
Sydenham;3.0;Overground;TRUE;51.427341;-0.055074;;
Upper Holloway;2.0;Overground;FALSE;51.563623;-0.129095;;
Walthamstow Queen's Road;3.0;Overground;FALSE;51.581546;-0.02383;;
Wandsworth Road;2.0;Overground;FALSE;51.470223;-0.139023;;
Wanstead Park;3.0;Overground;FALSE;51.551778;0.026404;;
Wapping;2.0;Overground;FALSE;51.50434;-0.055846;;
Watford High Street;8.0;Overground;FALSE;51.652654;-0.391682;;
West Croydon;5.0;Overground;TRUE;51.378552;-0.10202;;
Woodgrange Park;3.5;Overground;FALSE;51.549053;0.044587;;
